개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,소재지우편번호,도로명우편번호,사업장명,데이터갱신구분,데이터갱신시점,도로명주소,병상수,상세영업상태명,상세영업상태코드,영업상태코드,의료기관종별명,의료인수,입원실수,전화번호,좌표정보(X),좌표정보(Y),지번주소,진료과목내용,진료과목내용명,총면적,최종수정시점
3000000,PHMA319803000034041300001,1980-12-19,,폐업,2011-05-02,,,110-714,,교보생명보험㈜ 부속의원,I,2026-04-26 22:30:30,"서울특별시 종로구 종로 1 (종로1가,교보생명빌딩 2층)",0,폐업,03,03,부속의원,4,0,027212741,197993.904628438    ,452032.958591394    ,서울특별시 종로구 종로1가 1번지 교보생명빌딩 2층,101,내과,669.7,2011-05-02 16:45:49
3000000,PHMA319843000034041300001,1984-08-17,,폐업,2006-06-28,,,110-062,,서울특별시 학교보건원,I,2026-04-26 22:30:30,,0,폐업,03,03,부속의원,1,0,,,,서울특별시 종로구 신문로2가 2-64,101,내과,0,2009-05-15 10:03:44
3000000,PHMA320213000034041300003,2021-10-01,,영업/정상,,,,,03154,KT광화문부속의원,I,2026-04-26 22:30:31,"서울특별시 종로구 세종대로 178, KT 광화문 빌딩 West 3층 (세종로)",0,영업중,13,01,부속의원,2,0,0236716891,197982.889600104    ,452206.123138933    ,서울특별시 종로구 세종로 100 KT 광화문 빌딩 West,122,가정의학과,156.43,2026-04-17 05:43:25
3000000,PHMA320213000034041300002,2021-04-21,,영업/정상,,,,,03050,감사원부속한의원,I,2026-04-26 22:30:31,"서울특별시 종로구 북촌로 112, 감사원 3층 (삼청동)",0,영업중,13,01,부속의원,2,0,0220113237,198599.124043054    ,453898.945688558    ,서울특별시 종로구 삼청동 25-23 감사원,308 307 306 305 304 302 301,"한방내과, 한방부인과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",48.3,2023-02-13 16:35:10
3000000,PHMA320213000034041300001,2021-04-21,,영업/정상,,,,,03050,감사원부속치과의원,I,2026-04-26 22:30:31,"서울특별시 종로구 북촌로 112, 감사원 (삼청동)",0,영업중,13,01,부속의원,1,0,0220112683,198599.124043054    ,453898.945688558    ,서울특별시 종로구 삼청동 25-23 감사원,411 410 409 408 407 406 404 403 402,"구강악안면외과, 치과보철과, 치과교정과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과",63.5,2025-09-29 09:29:10
3000000,PHMA320203000034041300001,2020-01-13,,영업/정상,,,,,03171,정부서울청사 부속한의원,I,2026-04-26 22:30:31,"서울특별시 종로구 세종대로 209, 정부서울청사 210호 (세종로)",0,영업중,13,01,부속의원,1,0,0221004549,197759.173462514    ,452506.21248055     ,서울특별시 종로구 세종로 77번지 6호 정부서울청사 210호,308 307 306 305 304 302 301,"한방내과, 한방부인과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",47,2024-05-30 21:43:27
3000000,PHMA320173000034041300001,2007-03-26,,영업/정상,,,,,03143,SK에코플랜트&SK에코엔지니어링부속치과의원,I,2026-04-26 22:30:31,"서울특별시 종로구 율곡로2길 19, 2층 (수송동, 수송타워빌딩)",0,영업중,13,01,부속의원,2,0,0234991000,198279.787364709    ,452430.699653992    ,서울특별시 종로구 수송동 83번지 1호 수송타워빌딩 2층중 일부,411 408 407 406 403,"치과보철과, 치주과, 치과보존과, 구강내과, 예방치과",250,2026-01-27 13:32:15
3000000,PHMA320163000034041300001,2016-08-16,,영업/정상,,,,,03156,라이나생명보험(주)부속한의원,I,2026-04-26 22:30:31,"서울특별시 종로구 삼봉로 48, 13층 (청진동, 시그나타워)",0,영업중,13,01,부속의원,2,0,0237811004,198166.359660599    ,452193.22830404     ,서울특별시 종로구 청진동 188번지,308 302 301,"한방내과, 한방부인과, 침구과",44.55,2022-12-30 14:50:29
3000000,PHMA320143000034041300001,2014-05-22,,영업/정상,,,,,03156,라이나생명보험(주)부속의원,I,2026-04-26 22:30:31,"서울특별시 종로구 삼봉로 48, 13층 (청진동, 시그나타워)",0,영업중,13,01,부속의원,3,0,,198166.359660599    ,452193.22830404     ,,122,가정의학과,170.3,2021-02-16 16:45:51
3000000,PHMA320113000034041300001,2011-07-22,,영업/정상,,,,110-714,03154,교보생명보험(주) 부속의원,I,2026-04-26 22:30:31,"서울특별시 종로구 종로 1, 8층 (종로1가, 교보생명빌딩)",0,영업중,13,01,부속의원,2,0,,197993.904628438    ,452032.958591394    ,서울특별시 종로구 종로1가 1번지 교보생명빌딩 8층,101 122,"내과, 가정의학과",190,2022-12-02 01:13:25
