개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,소재지우편번호,도로명우편번호,사업장명,데이터갱신구분,데이터갱신시점,도로명주소,상세영업상태명,상세영업상태코드,약국영업면적,영업상태코드,전화번호,좌표정보(X),좌표정보(Y),지번주소,지정일자,최종수정시점
3000000,PHMD119803000034084000004,2003-06-02,,폐업,2015-06-03,,,,,대학약국,I,2026-05-03 22:31:09,서울특별시 종로구 창경궁로 162 (원남동),폐업,03,148,03,0236723672,199704.625106697    ,452722.595266275    ,서울특별시 종로구 원남동 133-1,2003-06-02,2015-06-03 17:35:50
3000000,PHMD119803000034084000005,1984-10-24,,폐업,2021-09-09,,,110-370,,새성은약국,I,2026-05-03 22:31:09,"서울특별시 종로구 돈화문로 35-1, 103호 (묘동)",폐업,03,24,03,027645968,199190.851137928    ,452155.029925614    ,서울특별시 종로구 묘동 190번지 1호   103호,1984-10-24,2021-09-09 18:04:59
3000000,PHMD119803000034084000007,1992-08-01,,폐업,2015-10-01,,,,03196,일신약국,I,2026-05-03 22:31:09,서울특별시 종로구 종로 224 (종로5가),폐업,03,79,03,0222641177,200156.418976973    ,452051.431532975    ,서울특별시 종로구 종로5가 182-22,1992-08-01,2015-10-01 13:11:06
3000000,PHMD119813000034084000001,1975-10-01,,폐업,2021-04-30,,,,03017,세검약국,I,2026-05-03 22:31:09,서울특별시 종로구 자하문로 306 (홍지동),폐업,03,25,03,023959944,196316.701619379    ,455270.595139855    ,서울특별시 종로구 홍지동 99-3,1975-10-01,2021-04-30 11:19:45
3000000,PHMD119813000034084000002,1999-05-27,,폐업,2015-03-23,,,,,예은약국,I,2026-05-03 22:31:09,서울특별시 종로구 진흥로 456 (구기동),폐업,03,38,03,023799920,196278.554670262    ,456053.759563793    ,서울특별시 종로구 구기동 95-27,1999-05-27,2015-03-23 13:28:06
3000000,PHMD119823000034084000001,2005-12-30,,폐업,2009-01-19,,,,,국제약국,I,2026-05-03 22:31:09,,폐업,03,17,03,0222656924,,,서울특별시 종로구 종로4가 182,2005-12-30,2009-01-21 08:36:13
3000000,PHMD119843000034084000001,1991-11-13,,폐업,2011-01-17,,,,,낙원약국,I,2026-05-03 22:31:09,,폐업,03,16,03,027620877,,,서울특별시 종로구 낙원동 210,1991-11-13,2011-04-13 18:05:16
3000000,PHMD119843000034084000003,2006-10-09,,폐업,2010-08-19,,,,,원남대학약국,I,2026-05-03 22:31:09,,폐업,03,52,03,027450130,,,서울특별시 종로구 원남동 127-5,2006-10-09,2010-08-19 17:35:15
3000000,PHMD119843000034084000004,2006-12-26,,폐업,2008-10-01,,,,,푸른소나무약국,I,2026-05-03 22:31:10,,폐업,03,20,03,0221985333,,,서울특별시 종로구 수송동 58 두산위브파빌리온 207호,2006-12-26,2008-11-24 16:02:04
3000000,PHMD119853000034084000001,1980-06-25,,폐업,2014-01-28,,,,,나라약국,I,2026-05-03 22:31:10,서울특별시 종로구 통일로 262 (무악동),폐업,03,58,03,027365525,196132.751817734    ,452580.254196764    ,서울특별시 종로구 무악동 67-2,1980-06-25,2014-01-28 15:48:28
3000000,PHMD119863000034084000001,2007-10-19,,폐업,2019-12-30,,,,03082,함춘약국,I,2026-05-03 22:31:10,서울특별시 종로구 대학로 93 (연건동),폐업,03,95,03,027410370,200089.912432586    ,453033.480875827    ,서울특별시 종로구 연건동 32-2,2007-10-19,2019-12-30 15:02:39
3000000,PHMD119873000034084000001,1993-12-10,,폐업,2011-03-28,,,,,재영약국,I,2026-05-03 22:31:10,,폐업,03,21,03,027447816,,,서울특별시 종로구 연지동 206,1993-12-10,2011-03-28 18:18:47
3000000,PHMD119883000034084000003,1987-08-13,,폐업,2019-06-10,,,,03182,새명성약국,I,2026-05-03 22:31:10,서울특별시 종로구 새문안로 85 (신문로1가),폐업,03,29,03,027372870,197643.965207382    ,452015.02340447     ,서울특별시 종로구 신문로1가 33,1987-08-13,2019-06-10 17:34:17
3000000,PHMD119883000034084000004,1990-03-26,,폐업,2011-03-23,,,,,수송약국,I,2026-05-03 22:31:10,,폐업,03,27,03,027337574,,,서울특별시 종로구 청진동 41-2,1990-03-26,2011-03-25 09:51:16
3000000,PHMD119893000034084000001,2007-06-18,,폐업,2011-09-14,,,,,국민약국,I,2026-05-03 22:31:10,,폐업,03,33,03,027645605,,,서울특별시 종로구 창신동 315-1,2007-06-18,2011-09-14 16:49:04
3000000,PHMD119893000034084000002,1992-05-08,,폐업,2017-06-19,,,,03111,숭인약국,I,2026-05-03 22:31:10,"서울특별시 종로구 종로 407, 1층 (숭인동)",폐업,03,47,03,029290754,201902.807079609    ,452577.361167222    ,서울특별시 종로구 숭인2동 1266번지 1층,1992-05-08,2017-06-19 09:30:05
3000000,PHMD119903000034084000001,2005-07-05,,폐업,2015-06-22,,,,,서독약국,I,2026-05-03 22:31:10,서울특별시 종로구 종로 205 (종로5가),폐업,03,47,03,027638115,199982.481574081    ,452096.334234382    ,서울특별시 종로구 종로5가 102-2,2005-07-05,2015-06-22 13:27:07
3000000,PHMD119903000034084000002,1999-07-06,,폐업,2015-07-31,,,,,오가약국,I,2026-05-03 22:31:10,서울특별시 종로구 종로 213-1 (종로5가),폐업,03,24,03,027638855,200070.014651415    ,452102.793530572    ,서울특별시 종로구 종로5가 88-7,1999-07-06,2015-08-05 10:31:58
3000000,PHMD119903000034084000003,1990-03-26,,폐업,2018-08-13,,,,03126,백수약국,I,2026-05-03 22:31:11,서울특별시 종로구 종로 233-1 (종로5가),폐업,03,79,03,027661083,200259.754525539    ,452113.150872578    ,서울특별시 종로구 종로5가 42-1,1990-03-26,2018-08-13 09:55:09
3000000,PHMD119903000034084000004,2007-03-09,,폐업,2009-10-23,,,,,영일한약국,I,2026-05-03 22:31:11,,폐업,03,36,03,027630101,,,서울특별시 종로구 종로6가 115-1,2007-03-09,2009-10-23 11:24:44
