개방자치단체코드,관리번호,과속방지턱관리번호,도로명,시도명,시군구명,소재지도로명주소,소재지지번주소,설치장소,과속방지턱재료,과속방지턱형태구분,과속방지턱높이,과속방지턱폭,과속방지턱연장,도로유형구분,규격여부,WGS84위도,WGS84경도,보차분리여부,연속형여부,과속방지턱설치연도,관리기관명,관리기관전화번호,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
3000000,202230000000600732,2020-3000000-06-00733,지봉로17길 27,서울특별시,종로구,지봉로17길 27,,도로,원호형,원호형,10,360,6,일반,Y,37.5795678537,127.0135697863,Y,Y,,서울특별시 종로구청,02-2148-3273,2021-03-23,I,2025-12-15 16:21:39,2022-01-11 17:27:31
3000000,202230000000601001,,창신6길 4,서울특별시,종로구,창신6길 4,,도로,원호형,가상형,8,200,3,일반,Y,37.5748462044,127.0108462912,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,I,2025-12-15 16:21:39,2022-01-11 17:27:33
3000000,202230000000600853,,율곡로 1길 56,서울특별시,종로구,율곡로 1길 56,,도로,원호형,원호형,10,360,3,일반,Y,37.5783530212,126.9810374305,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,I,2025-12-15 16:21:39,2022-01-11 17:27:32
3000000,202230000000600306,2020-3000000-06-00307,평창21길 35,서울특별시,종로구,평창21길 35,,도로,원호형,원호형,8,200,5,일반,Y,37.6095509751,126.9692254803,Y,Y,,서울특별시 종로구청,02-2148-3273,2021-03-23,I,2025-12-15 16:21:39,2022-01-11 17:27:28
3000000,202230000000601695,,옥인길 44,서울특별시,종로구,옥인길 44,,도로,원호형,가상형,10,360,5,일반,Y,37.5812115981,126.9664309546,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,I,2025-12-15 16:21:39,2022-01-11 17:27:39
3000000,202230000000600354,2020-3000000-06-00355,평창길 38,서울특별시,종로구,평창길 38,,도로,원호형,원호형,10,360,4,일반,Y,37.6072019479,126.9622047281,Y,Y,,서울특별시 종로구청,02-2148-3273,2021-03-23,I,2025-12-15 16:21:39,2022-01-11 17:27:28
3000000,202230000000600197,2020-3000000-06-00198,세검정로9길 1,서울특별시,종로구,세검정로9길 1,,도로,원호형,원호형,10,360,4,일반,Y,37.6034688343,126.9609688374,Y,Y,,서울특별시 종로구청,02-2148-3273,2021-03-23,I,2025-12-15 16:21:39,2022-01-11 17:27:27
3000000,202230000000600237,2020-3000000-06-00238,비봉2길 32(2),서울특별시,종로구,비봉2길 32(2),,도로,원호형,원호형,8,200,4,일반,Y,37.6117043309,126.9585924467,Y,Y,,서울특별시 종로구청,02-2148-3273,2021-03-23,I,2025-12-15 16:21:39,2022-01-11 17:27:28
3000000,202230000000600836,2020-3000000-06-00837,평창11길 73,서울특별시,종로구,평창11길 73,,도로,원호형,원호형,10,360,7,일반,Y,37.6118883565,126.9667007707,Y,Y,,서울특별시 종로구청,02-2148-3273,2021-03-23,I,2025-12-15 16:21:39,2022-01-11 17:27:32
3000000,202230000000601648,,필운대로 104,서울특별시,종로구,필운대로 104,,도로,원호형,원호형,10,360,7,일반,Y,37.5839028740,126.9687594004,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,I,2025-12-15 16:21:39,2022-01-11 17:27:39
3000000,202230000000601461,,비봉4길 2(1),서울특별시,종로구,비봉4길 2(1),,도로,원호형,가상형,10,360,5,일반,Y,37.6119435329,126.9572986708,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,I,2025-12-15 16:21:39,2022-01-11 17:27:37
3000000,202230000000601280,,북촌로8길 1,서울특별시,종로구,북촌로8길 1,,도로,원호형,원호형,8,200,3,일반,Y,37.5810804867,126.9852971383,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,I,2025-12-15 16:21:39,2022-01-11 17:27:35
3000000,202230000000600819,2020-3000000-06-00820,종로65길 16(1),서울특별시,종로구,종로65길 16(1),,도로,원호형,원호형,10,360,5,일반,Y,37.5751214473,127.0199189956,Y,Y,,서울특별시 종로구청,02-2148-3273,2021-03-23,I,2025-12-15 16:21:39,2022-01-11 17:27:32
3000000,202230000000601083,,창경궁로35길 13,서울특별시,종로구,창경궁로35길 13,,도로,원호형,원호형,10,360,6,일반,Y,37.5865672706,127.0015068510,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,I,2025-12-15 16:21:39,2022-01-11 17:27:34
3000000,202230000000600759,2020-3000000-06-00760,지봉로8길 46-1,서울특별시,종로구,지봉로8길 46-1,,도로,원호형,원호형,8,200,3,일반,Y,37.5767350021,127.0160136069,Y,Y,,서울특별시 종로구청,02-2148-3273,2021-03-23,I,2025-12-15 16:21:39,2022-01-11 17:27:31
3000000,202230000000601334,,통일로12길 20-2,서울특별시,종로구,통일로12길 20-2,,도로,원호형,원호형,10,360,6,일반,Y,37.5735903986,126.9604519398,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,I,2025-12-15 16:21:39,2022-01-11 17:27:36
3000000,202230000000601172,,동숭4나길 22-2,서울특별시,종로구,동숭4나길 22-2,,도로,원호형,가상형,8,200,3,일반,Y,37.5830522989,127.0052537483,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,I,2025-12-15 16:21:39,2022-01-11 17:27:35
3000000,202230000000601615,,경희궁1길 4,서울특별시,종로구,경희궁1길 4,,도로,원호형,원호형,10,360,5,일반,Y,37.5709911077,126.9717045171,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,I,2025-12-15 16:21:39,2022-01-11 17:27:38
3000000,202230000000601445,,세검정로9길 85,서울특별시,종로구,세검정로9길 85,,도로,원호형,원호형,10,360,4,일반,Y,37.6065290123,126.9592667791,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,I,2025-12-15 16:21:39,2022-01-11 17:27:37
3000000,202230000000600704,2020-3000000-06-00705,창신6길 4,서울특별시,종로구,창신6길 4,,도로,원호형,가상형,8,200,3,일반,Y,37.5748462044,127.0108462912,Y,Y,,서울특별시 종로구청,02-2148-3273,2021-03-23,I,2025-12-15 16:21:39,2022-01-11 17:27:31
3000000,202230000000600860,,평창동 247-6 일원,서울특별시,종로구,평창동 247-6 일원,,도로,원호형,원호형,10,360,5,일반,Y,11.111,111.111,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,I,2025-12-15 16:21:39,2022-01-11 17:27:32
3000000,202230000000601418,,평창13길 40(2),서울특별시,종로구,평창13길 40(2),,도로,원호형,원호형,8,200,4,일반,Y,37.6085122498,126.9636152063,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,I,2025-12-15 16:21:39,2022-01-11 17:27:37
3000000,202230000000601228,,종로3길 38,서울특별시,종로구,종로3길 38,,도로,원호형,가상형,10,360,9,일반,Y,37.5720788686,126.9795009931,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,I,2025-12-15 16:21:39,2022-01-11 17:27:35
3000000,202230000000600559,2020-3000000-06-00560,이화장1길 26-7,서울특별시,종로구,이화장1길 26-7,,도로,원호형,원호형,10,360,3,일반,Y,37.5772393271,127.0058833331,Y,Y,,서울특별시 종로구청,02-2148-3273,2021-03-23,I,2025-12-15 16:21:39,2022-01-11 17:27:30
3000000,202230000000600063,2020-3000000-06-00064,필운대로 58,서울특별시,종로구,필운대로 58,,도로,원호형,원호형,10,360,8,일반,Y,37.5811861772,126.9686786831,Y,Y,,서울특별시 종로구청,02-2148-3273,2021-03-23,I,2025-12-15 16:21:39,2022-01-11 17:27:26
3000000,202230000000601066,,혜화로11길 35,서울특별시,종로구,혜화로11길 35,,도로,원호형,가상형,10,220,4,일반,Y,37.5888086513,126.9974069473,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,I,2025-12-15 16:21:39,2022-01-11 17:27:34
3000000,202230000000601693,,옥인길 49,서울특별시,종로구,옥인길 49,,도로,원호형,가상형,10,360,5,일반,Y,37.5812220914,126.9659478728,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,I,2025-12-15 16:21:39,2022-01-11 17:27:39
3000000,202230000000601202,,종로31길 7,서울특별시,종로구,종로31길 7,,도로,원호형,가상형,10,360,6,일반,Y,37.5713325521,126.9999918497,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,I,2025-12-15 16:21:39,2022-01-11 17:27:35
3000000,202230000000601350,,평창길 63,서울특별시,종로구,평창길 63,,도로,원호형,원호형,10,360,7,일반,Y,37.6086361481,126.9630742453,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,I,2025-12-15 16:21:39,2022-01-11 17:27:36
3000000,202230000000600595,2020-3000000-06-00596,성균관로13길 12,서울특별시,종로구,성균관로13길 12,,도로,원호형,원호형,10,360,4,일반,Y,37.5898568593,126.9971182993,Y,Y,,서울특별시 종로구청,02-2148-3273,2021-03-23,I,2025-12-15 16:21:39,2022-01-11 17:27:30
3000000,202230000000601623,,효자로9길 32,서울특별시,종로구,효자로9길 32,,도로,원호형,원호형,10,360,6,일반,Y,37.5805805047,126.9729528931,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,I,2025-12-15 16:21:39,2022-01-11 17:27:38
3000000,202230000000601644,,필운대로 48,서울특별시,종로구,필운대로 48,,도로,원호형,원호형,10,360,5,일반,Y,37.5803039474,126.9687667912,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,I,2025-12-15 16:21:39,2022-01-11 17:27:39
3000000,202230000000600955,,종로57길 22,서울특별시,종로구,종로57길 22,,도로,원호형,원호형,8,200,4,일반,Y,37.5743389889,127.0166527980,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,I,2025-12-15 16:21:39,2022-01-11 17:27:33
3000000,202230000000600552,2020-3000000-06-00553,율곡로19길 24,서울특별시,종로구,율곡로19길 24,,도로,원호형,원호형,10,360,6,일반,Y,37.5763258807,127.0062407624,Y,Y,,서울특별시 종로구청,02-2148-3273,2021-03-23,I,2025-12-15 16:21:39,2022-01-11 17:27:30
3000000,202230000000600505,2020-3000000-06-00506,종로33길 13,서울특별시,종로구,종로33길 13,,도로,원호형,가상형,10,360,6,일반,Y,11.111,111.111,Y,Y,,서울특별시 종로구청,02-2148-3273,2021-03-23,I,2025-12-15 16:21:39,2022-01-11 17:27:29
3000000,202230000000600891,,경희궁길 28(서광종합개발 옆),서울특별시,종로구,경희궁길 28(서광종합개발 옆),,도로,원호형,원호형,10,360,5,일반,Y,37.5724747364,126.9708000608,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,I,2025-12-15 16:21:39,2022-01-11 17:27:32
3000000,202230000000600422,2020-3000000-06-00423,북촌로4길 16,서울특별시,종로구,북촌로4길 16,,도로,원호형,가상형,10,360,6,일반,Y,37.5791612788,126.9860317908,Y,Y,,서울특별시 종로구청,02-2148-3273,2021-03-23,I,2025-12-15 16:21:39,2022-01-11 17:27:29
3000000,202230000000600947,,지봉로8길 45,서울특별시,종로구,지봉로8길 45,,도로,원호형,가상형,8,200,3,일반,Y,37.5766062293,127.0161652745,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,I,2025-12-15 16:21:39,2022-01-11 17:27:33
3000000,202230000000600677,2020-3000000-06-00678,낙산성곽길 10,서울특별시,종로구,낙산성곽길 10,,도로,원호형,원호형,10,360,5,일반,Y,37.5725145483,127.0094679794,Y,Y,,서울특별시 종로구청,02-2148-3273,2021-03-23,I,2025-12-15 16:21:39,2022-01-11 17:27:31
3000000,202230000000600760,2020-3000000-06-00761,지봉로8길 54,서울특별시,종로구,지봉로8길 54,,도로,원호형,원호형,8,200,4,일반,Y,37.5767367517,127.0157326310,Y,Y,,서울특별시 종로구청,02-2148-3273,2021-03-23,I,2025-12-15 16:21:39,2022-01-11 17:27:31
3000000,202230000000600910,,광화문 우체국 옆,서울특별시,종로구,광화문 우체국 옆,,도로,원호형,원호형,10,360,5,일반,Y,11.111,111.111,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,I,2025-12-15 16:21:39,2022-01-11 17:27:32
3000000,202230000000600994,,창신길 155,서울특별시,종로구,창신길 155,,도로,원호형,원호형,10,360,4,일반,Y,37.5781636396,127.0090164298,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,I,2025-12-15 16:21:39,2022-01-11 17:27:33
3000000,202230000000600358,2020-3000000-06-00359,평창길 90,서울특별시,종로구,평창길 90,,도로,원호형,가상형,10,360,7,일반,Y,37.6107527788,126.9643326178,Y,Y,,서울특별시 종로구청,02-2148-3273,2021-03-23,I,2025-12-15 16:21:39,2022-01-11 17:27:28
3000000,202230000000601574,,인왕산로1길 19,서울특별시,종로구,인왕산로1길 19,,도로,원호형,원호형,10,360,6,일반,Y,11.111,111.111,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,I,2025-12-15 16:21:39,2022-01-11 17:27:38
3000000,202230000000601559,,북촌로 112(감사원-1),서울특별시,종로구,북촌로 112(감사원-1),,도로,원호형,원호형,10,360,7,일반,Y,37.5871430716,126.9844496164,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,I,2025-12-15 16:21:39,2022-01-11 17:27:38
3000000,202230000000600972,,지봉로17길 46-9,서울특별시,종로구,지봉로17길 46-9,,도로,원호형,원호형,10,360,6,일반,Y,37.5796825752,127.0125295202,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,I,2025-12-15 16:21:39,2022-01-11 17:27:33
3000000,202230000000600271,2020-3000000-06-00272,평창11길 19-3(요진쉐레이)(1),서울특별시,종로구,평창11길 19-3(요진쉐레이)(1),,도로,원호형,가상형,10,360,4,일반,Y,37.6068459317,126.9653178435,Y,Y,,서울특별시 종로구청,02-2148-3273,2021-03-23,I,2025-12-15 16:21:39,2022-01-11 17:27:28
3000000,202230000000600175,2020-3000000-06-00176,백석동길 203,서울특별시,종로구,백석동길 203,,도로,원호형,가상형,10,360,3,일반,Y,37.5969030375,126.9681466808,Y,Y,,서울특별시 종로구청,02-2148-3273,2021-03-23,I,2025-12-15 16:21:39,2022-01-11 17:27:27
3000000,202230000000601361,,평창길 180,서울특별시,종로구,평창길 180,,도로,원호형,원호형,10,360,7,일반,Y,37.6129003358,126.9682949121,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,I,2025-12-15 16:21:39,2022-01-11 17:27:36
3000000,202230000000601482,,홍지문길 22,서울특별시,종로구,홍지문길 22,,도로,원호형,원호형,10,360,6,일반,Y,37.6012627174,126.9572090861,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,I,2025-12-15 16:21:39,2022-01-11 17:27:37
3000000,202230000000601155,,율곡로19길 17-8(종로노인복지관),서울특별시,종로구,율곡로19길 17-8(종로노인복지관),,도로,원호형,원호형,10,360,4,일반,Y,37.5766679096,127.0060206063,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,I,2025-12-15 16:21:39,2022-01-11 17:27:34
