교량명,시설물종별등급구분,도로종류,도로노선명,도로노선번호,도로노선방향,시도명,시군구명,시군구코드,소재지지번주소,교량시작점위도,교량시작점경도,교량종료점위도,교량종료점경도,교량연장,교량폭,교량보도폭,교량높이,차로수,상하행선분리여부,상부구조형식,교량준공연도,최종안전점검일자,최종안전점검결과,최종안전점검유형,내진설계적용여부,내진성능확보여부,교량보수보강내역,교량보수보강비용,설계활하중,허용통행하중,하부통과제한높이,관리기관명,관리기관전화번호,데이터기준일자
진위교,02,일반국도,일반국도1호선,1,03,경기도,평택시,41220,경기도 평택시 진위면 견산리, 37.100936, 127.064073, 37.101863, 127.063808,125,21,4.9,4.6,4,N,PSCI거더교,1986,2024-11-30,A,정기점검,미적용,N,,,DB-24,43.2,,서울청 수원사무소,031-218-1777,2024-12-31
풍계교,03,일반국도,일반국도3호선,3,03,경기도,이천시,41500,경기도 이천시 장호원읍 선읍리, 37.133443, 127.602174, 37.133715, 127.601749,55,20,1,4.5,2,N,RC슬래브교,1995,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,,서울청 수원사무소,031-218-1777,2024-12-31
태평교,03,일반국도,일반국도3호선,3,03,경기도,여주시,41670,경기도 여주시 가남읍 태평리, 37.200325, 127.545522, 37.200578, 127.545179,43.8,19.5,1,3,4,N,PSCI거더교,1991,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,3,서울청 수원사무소,031-218-1777,2024-12-31
장평교,02,일반국도,일반국도3호선,3,03,경기도,이천시,41500,경기도 이천시 대월면 장평리, 37.225055, 127.524158, 37.225717, 127.523299,105,19.5,1,4,4,N,RC슬래브교,1993,2024-12-13,A,정기점검,미적용,N,,,DB-24,43.2,,서울청 수원사무소,031-218-1777,2024-12-31
풍계교,03,일반국도,일반국도37호선,37,03,경기도,이천시,41500,경기도 이천시 장호원읍 풍계리, 37.149231, 127.626386, 37.148733, 127.626393,44,10,1.5,7,2,N,RC슬래브교,1988,2024-12-13,B,정기점검,미적용,N,,,DB-18(성능개선),32.4,7,서울청 수원사무소,031-218-1777,2024-12-31
덕평교,03,일반국도,일반국도37호선,37,03,경기도,여주시,41670,경기도 여주시 점동면 덕평리, 37.169174, 127.651686, 37.169362, 127.651992,32,10,1.5,4,2,N,RC슬래브교,1996,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,2.5,서울청 수원사무소,031-218-1777,2024-12-31
궁안교(상),02,일반국도,일반국도38호선,38,01,경기도,평택시,41220,경기도 평택시 오성면 안화리, 37.016898, 127.013500, 37.017447, 127.018140,420,10.4,2.5,5.5,2,Y,프리플렉스거더교,1992,2024-12-13,A,정기점검,미적용,N,,,DB-24,43.2,7,서울청 수원사무소,031-218-1777,2024-12-31
안양교,02,일반국도,일반국도38호선,38,03,경기도,안성시,41550,경기도 안성시 공도읍 양기리, 37.009240, 127.210610, 37.009015, 127.211938,105,20,1.5,6.2,4,N,RC슬래브교,1993,2024-12-13,A,정기점검,미적용,N,,,DB-24,43.2,5,서울청 수원사무소,031-218-1777,2024-12-31
보개교,03,일반국도,일반국도38호선,38,03,경기도,안성시,41550,경기도 안성시 보개면 동신리, 37.012182, 127.298276, 37.012244, 127.299035,70,20,1.5,3.1,4,N,RC슬래브교,1993,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,3.1,서울청 수원사무소,031-218-1777,2024-12-31
고촌육교,03,일반국도,일반국도39호선,39,03,경기도,김포시,41570,경기도 김포시 고촌읍 전호리, 37.587136, 126.792184, 37.587320, 126.792687,45,29,12.3,5.1,4,N,강박스거더교,2005,2024-11-30,B,정기점검,미적용,N,,,DB-24,43.2,4.8,서울청 수원사무소,031-218-1777,2024-12-31
신원교,03,일반국도,일반국도42호선,42,03,경기도,이천시,41500,경기도 이천시 부발읍 신원리, 37.291282, 127.509880, 37.291459, 127.510577,36,19.5,1,5.4,4,N,라멘교,1998,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,5.4,서울청 수원사무소,031-218-1777,2024-12-31
