장소유형코드,대상시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,제한속도,관리기관명,관리기관전화번호,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명
1,마리면 영승마을회관,경상남도,거창군,48880,경상남도 거창군 마리면 빼재로 173,경상남도 거창군 마리면 월계리 258-4,35.715154729,127.8542533376,30,경상남도 거창군청,055-940-3382,거창경찰서,N,,,2026-02-26,5470000,경상남도 거창군
1,고제면 원농산경로당,경상남도,거창군,48880,경상남도 거창군 고제면 원농산길 130,경상남도 거창군 고제면 농산리 486-1,35.80612799,127.8692416,30,경상남도 거창군청,055-940-3382,거창경찰서,N,,,2026-02-26,5470000,경상남도 거창군
1,신원면 원동경로당,경상남도,거창군,48880,경상남도 거창군 신원면 원동길 50,경상남도 거창군 신원면 수원리 1121-29,35.5849008,127.9735265,30,경상남도 거창군청,055-940-3382,거창경찰서,N,,,2026-02-26,5470000,경상남도 거창군
1,신원면 청용경로당,경상남도,거창군,48880,경상남도 거창군 신원면 청용1길 16,경상남도 거창군 신원면 청수리 261-1,35.57016755,127.9016399,30,경상남도 거창군청,055-940-3382,거창경찰서,N,,,2026-02-26,5470000,경상남도 거창군
1,가북면 강계경로당,경상남도,거창군,48880,경상남도 거창군 가북면 용암로 621-7,경상남도 거창군 가북면 몽석리 155,35.80202653,128.0248157,30,경상남도 거창군청,055-940-3382,거창경찰서,N,,,2026-02-26,5470000,경상남도 거창군
1,가북면 다전경로당,경상남도,거창군,48880,경상남도 거창군 가북면 다전길 3,경상남도 거창군 가북면 중촌리 2231-1,35.80608128,127.9713694,30,경상남도 거창군청,055-940-3382,거창경찰서,N,,,2026-02-26,5470000,경상남도 거창군
1,남하면 대야경로당,경상남도,거창군,48880,경상남도 거창군 남하면 대야길 9,경상남도 거창군 남하면 대야리 1433-2,35.63539421,127.9634564,30,경상남도 거창군청,055-940-3382,거창경찰서,N,,,2026-02-26,5470000,경상남도 거창군
1,남하면 상촌경로당,경상남도,거창군,48880,경상남도 거창군 남하면 양항길 354,경상남도 거창군 남하면 양항리 938-1,35.68566767,127.9453686,30,경상남도 거창군청,055-940-3382,거창경찰서,N,,,2026-02-26,5470000,경상남도 거창군
1,가북면 회남경로당,경상남도,거창군,48880,경상남도 거창군 가북면 보해길 963-26,경상남도 거창군 가북면 해평리 1503-1,35.79379654,127.9718031,30,경상남도 거창군청,055-940-3382,거창경찰서,N,,,2026-02-26,5470000,경상남도 거창군
1,북상면 탑불경로당,경상남도,거창군,48880,경상남도 거창군 북상면 송계로 870,경상남도 거창군 북상면 갈계리 887-2,35.79042703,127.8151751,30,경상남도 거창군청,055-940-3382,거창경찰서,N,,,2026-02-26,5470000,경상남도 거창군
1,마리면 신기삼거리경로당,경상남도,거창군,48880,경상남도 거창군 마리면 거안로 640-5,경상남도 거창군 마리면 대동리 1496-4,35.68687937,127.8413682,30,경상남도 거창군청,055-940-3382,거창경찰서,N,,,2026-02-26,5470000,경상남도 거창군
1,신원면 번득경로당,경상남도,거창군,48880,경상남도 거창군 신원면 상감악길 5-12,경상남도 거창군 신원면 과정리 568,35.57231844,127.9224109,30,경상남도 거창군청,055-940-3382,거창경찰서,N,,,2026-02-26,5470000,경상남도 거창군
1,신원면 세안경로당,경상남도,거창군,48880,경상남도 거창군 신원면 세안길 24-3,경상남도 거창군 신원면 과정리 620-1,35.57321554,127.9182921,30,경상남도 거창군청,055-940-3382,거창경찰서,N,,,2026-02-26,5470000,경상남도 거창군
1,신원면 내동경로당,경상남도,거창군,48880,경상남도 거창군 신원면 내동2길 11,경상남도 거창군 신원면 덕산리 631-6,35.57596598,127.8941522,30,경상남도 거창군청,055-940-3382,거창경찰서,N,,,2026-02-26,5470000,경상남도 거창군
1,남상면 월평경로당,경상남도,거창군,48880,경상남도 거창군 남상면 밤티재로 1195,경상남도 거창군 남상면 월평리 1260-2,35.66193824,127.9316267,30,경상남도 거창군청,055-940-3382,거창경찰서,N,,,2026-02-26,5470000,경상남도 거창군
1,남상면 무촌경로당,경상남도,거창군,48880,경상남도 거창군 남상면 수남로 1800-27,경상남도 거창군 남상면 무촌리 1344-37,35.64100745,127.9068565,30,경상남도 거창군청,055-940-3382,거창경찰서,N,,,2026-02-26,5470000,경상남도 거창군
1,남상면 명산동경로당,경상남도,거창군,48880,경상남도 거창군 남상면 명산동길 31,경상남도 거창군 남상면 전척리 132-2,35.62776544,127.9607794,30,경상남도 거창군청,055-940-3382,거창경찰서,N,,,2026-02-26,5470000,경상남도 거창군
1,신원면 청연경로당,경상남도,거창군,48880,경상남도 거창군 신원면 청연길 13,경상남도 거창군 신원면 덕산리 140,35.60294167,127.9114153,30,경상남도 거창군청,055-940-3382,거창경찰서,N,,,2026-02-26,5470000,경상남도 거창군
1,남상면 상매경로당,경상남도,거창군,48880,경상남도 거창군 남상면 매산1길 20,경상남도 거창군 남상면 무촌리 1076-3,35.63297568,127.9030179,30,경상남도 거창군청,055-940-3382,거창경찰서,N,,,2026-02-26,5470000,경상남도 거창군
1,북상면 월성경로당,경상남도,거창군,48880,경상남도 거창군 북상면 은지밭길 82,경상남도 거창군 북상면 월성리 1082-1,35.76516628,127.7429844,30,경상남도 거창군청,055-940-3382,거창경찰서,N,,,2026-02-26,5470000,경상남도 거창군
1,남상면 괴화경로당,경상남도,거창군,48880,경상남도 거창군 남상면 괴화길 6,경상남도 거창군 남상면 대산리 1270-2,35.64508894,127.9201178,30,경상남도 거창군청,055-940-3382,거창경찰서,N,,,2026-02-26,5470000,경상남도 거창군
