안전표지일련번호,도로종류,도로노선번호,도로노선명,도로노선방향,도로형태,차로수,도로폭,소재지도로명주소,소재지지번주소,위도,경도,안전표지구분,안전표지종별일련번호,주행제한속도,안전표지설명,지주형식,제2외국어표기여부,설치일자,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
4,지방도,795,진용로,02,,,,,전북특별자치도 진안군 정천면 모정리 산294-1,35.88822001,127.4721729,01,130,,낙석주의 표지,, ,,전북특별자치도 진안군,063-430-2354,2026-01-28,4731000,전북특별자치도 진안군
3,지방도,795,진용로,01,,,,,전북특별자치도 진안군 정천면 모정리 산288-9,35.884111,127.469902,03,111,,우로굽은도로표지,, ,,전북특별자치도 진안군,063-430-2354,2026-01-28,4731000,전북특별자치도 진안군
2,지방도,795,진용로,01,,,,,전북특별자치도 진안군 정천면 갈용리 산39-2,35.878889,127.465741,03,104,,아형교차로표지,, ,,전북특별자치도 진안군,063-430-2354,2026-01-28,4731000,전북특별자치도 진안군
1,지방도,795,진용로,02,,,,,전북특별자치도 진안군 정천면 갈용리 산27-4,35.879589,127.468319,01,130,,낙석주의 표지,, ,,전북특별자치도 진안군,063-430-2354,2026-01-28,4731000,전북특별자치도 진안군
100847,시도,7번,동굴로,3,1,4,13.9,,강원특별자치도 동해시 천곡동 1090-32,37.5177501,129.1144001,2,218,,정차주차금지,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
104030,시도,7번,동해대로,3,1,2,7.2,,강원특별자치도 동해시 망상동 160-1,37.5860101,129.1001601,1,129,,과속방지턱,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
104031,시도,7번,동해대로,3,1,2,7,,강원특별자치도 동해시 망상동 160-1,37.5860101,129.1001601,2,226,,천천히,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
104032,시도,7번,동해대로,3,1,2,7,,강원특별자치도 동해시 망상동 160-1,37.5860101,129.1001601,2,224,,30km,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100851,시도,7번,해안로,3,1,4,22,,강원특별자치도 동해시 용정동 504,37.5097401,129.1254992947,1,132,,횡단보도,2, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100821,시도,7번,봉오주택길,3,1,2,15.2,,강원특별자치도 동해시 용정동 268,37.5107101,129.1208601,1,133,,어린이보호,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
104021,시도,7번,동해대로,3,2,2,17.8,,강원특별자치도 동해시 망상동 39-13,37.5841101,129.1037501,3,309,,직진및좌회전,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100016,시도,7번,동굴1길,3,1,1,7.8,,강원특별자치도 동해시 천곡동 1090-36,37.5190401,129.1138951469,3,322,,횡단보도,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100011,시도,7번,동굴로,3,1,4,13.9,,강원특별자치도 동해시 천곡동 1090-32,37.5177501,129.1144001,3,322,,횡단보도,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
