무인교통단속카메라관리번호,시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
광주074,경기도,광주시,시도,2-106,오포로,3,,경기도 광주시 능평동 38-1,37.34797615,127.1920267,오포물류단지 앞,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주073,경기도,광주시,기타,,신현로,3,,경기도 광주시 신현동 790-2,37.35657284,127.1458227,이마트에브리데이 삼거리 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주072,경기도,광주시,기타,,신현로12번길,3,,경기도 광주시 신현동 산 143-1,37.35803152,127.1481768,신현초등학교 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주071,경기도,광주시,일반국도,43,회안대로,3,,경기도 광주시 남한산성면 광지원리 184-5,37.46387069,127.2505718,광지원초등학교 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주070,경기도,광주시,시도,4,해공로,3,,경기도 광주시 남한산성면 상번천리 540,37.4457392668,127.2652438685,번천초등학교 진입로,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주069,경기도,광주시,지방도,342,산수로,3,,경기도 광주시 남종면 분원리 93-2,37.49524262,127.3015795,분원초등학교 주변앞,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주068,경기도,광주시,기타,,도수길,3,경기도 광주시 퇴촌면 도수길 11,,37.47181284,127.3182693,도수초등학교 정문앞,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주067,경기도,광주시,지방도,325,산수로,3,,경기도 광주시 초월읍 신월리 446-79,37.40743697,127.3084935,초월초등학교 정문앞,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주066,경기도,광주시,지방도,325,산수로,3,,경기도 광주시 초월읍 선동리 248-6,37.3769887857,127.3173761,선동초등학교 교차로,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주065,경기도,광주시,기타,,내선길,3,,경기도 광주시 곤지암읍 만선리 435-13,37.36577632,127.4094524181,만선초등학교 삼거리,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주064,경기도,광주시,시도,7,도척윗로,3,,경기도 광주시 도척면 도웅리 128-2,37.33408011,127.313318,도궁초등학교 정문앞,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
