보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
사직리 672-3,1,,대구광역시 군위군 군위읍 사직리 672-3,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
사직리 668-1,1,,대구광역시 군위군 군위읍 사직리 668-1,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
사직리 594-3,1,,대구광역시 군위군 군위읍 사직리 594-3,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
사직리 598,1,,대구광역시 군위군 군위읍 사직리 598,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
사직리 573-1,1,,대구광역시 군위군 군위읍 사직리 573-1,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
사직리 564,1,,대구광역시 군위군 군위읍 사직리 564,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
사직리 227-1,1,,대구광역시 군위군 군위읍 사직리 227-1,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
사직리 499,1,,대구광역시 군위군 군위읍 사직리 499,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
사직리 203-7,1,,대구광역시 군위군 군위읍 사직리 203-7,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
사직리 219-7,1,,대구광역시 군위군 군위읍 사직리 219-7,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
사직리 473,1,,대구광역시 군위군 군위읍 사직리 473,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
사직리 466,1,,대구광역시 군위군 군위읍 사직리 466,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
사직리 451-1,1,,대구광역시 군위군 군위읍 사직리 451-1,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
사직리 445-1,1,,대구광역시 군위군 군위읍 사직리 445-1,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
사직리 875,1,,대구광역시 군위군 군위읍 사직리 875,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
사직1길 94-1,1,대구광역시 군위군 군위읍 사직1길 94-1,,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
사직1길 84-16,1,대구광역시 군위군 군위읍 사직1길 84-16,,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
사직리 202,1,,대구광역시 군위군 군위읍 사직리 202,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
사직리 198,1,,대구광역시 군위군 군위읍 사직리 198,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
사직1길 80,1,대구광역시 군위군 군위읍 사직1길 80,,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
사직리 863-1,1,,대구광역시 군위군 군위읍 사직리 863-1,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
수서리 1268-4,1,,대구광역시 군위군 군위읍 수서리 1268-4,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
수서리 1248-8,1,,대구광역시 군위군 군위읍 수서리 1248-8,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
수서리 1277-6,1,,대구광역시 군위군 군위읍 수서리 1277-6,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
수서리 1248-17,1,,대구광역시 군위군 군위읍 수서리 1248-17,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
수서리 1264,1,,대구광역시 군위군 군위읍 수서리 1264,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
수서리 1025-2,1,,대구광역시 군위군 군위읍 수서리 1025-2,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 1-48,1,,대구광역시 군위군 군위읍 내량리 1-48,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 1-28,1,,대구광역시 군위군 군위읍 내량리 1-28,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 24-6,1,,대구광역시 군위군 군위읍 내량리 24-6,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 1344,1,,대구광역시 군위군 군위읍 내량리 1344,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 64,1,,대구광역시 군위군 군위읍 내량리 64,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량1길 5-4,1,대구광역시 군위군 군위읍 내량1길 5-4,,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 147,1,,대구광역시 군위군 군위읍 내량리 147,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 1344-4,1,,대구광역시 군위군 군위읍 내량리 1344-4,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 1341-1,1,,대구광역시 군위군 군위읍 내량리 1341-1,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 41-3,1,,대구광역시 군위군 군위읍 내량리 41-3,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 351-4,1,,대구광역시 군위군 군위읍 내량리 351-4,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 40-6,1,,대구광역시 군위군 군위읍 내량리 40-6,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량1길 4,1,대구광역시 군위군 군위읍 내량1길 4,,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량길 115,1,대구광역시 군위군 군위읍 내량길 115,,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 산100,1,,대구광역시 군위군 군위읍 내량리 산100,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 207-2,1,,대구광역시 군위군 군위읍 내량리 207-2,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 192-4,1,,대구광역시 군위군 군위읍 내량리 192-4,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 202-2,1,,대구광역시 군위군 군위읍 내량리 202-2,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 231,1,,대구광역시 군위군 군위읍 내량리 231,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 235-2,1,,대구광역시 군위군 군위읍 내량리 235-2,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 247-6,1,,대구광역시 군위군 군위읍 내량리 247-6,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 217-3,1,,대구광역시 군위군 군위읍 내량리 217-3,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 1351,1,,대구광역시 군위군 군위읍 내량리 1351,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
사직리 36-1,1,,대구광역시 군위군 군위읍 사직리 36-1,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
서군로 777-84,1,대구광역시 군위군 군위읍 서군로 777-84,,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
수서사직길 138-55,1,대구광역시 군위군 군위읍 수서사직길 138-55,,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
수서사직길 138-35,1,대구광역시 군위군 군위읍 수서사직길 138-35,,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
사직리 251-3,1,,대구광역시 군위군 군위읍 사직리 251-3,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
사직리 541-2,1,,대구광역시 군위군 군위읍 사직리 541-2,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
사직2길 15-10,1,대구광역시 군위군 군위읍 사직2길 15-10,,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
사직리 547,1,,대구광역시 군위군 군위읍 사직리 547,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
사직2길 43-8,1,대구광역시 군위군 군위읍 사직2길 43-8,,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
사직리 675,1,,대구광역시 군위군 군위읍 사직리 675,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
사직리 878,1,,대구광역시 군위군 군위읍 사직리 878,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
사직2길 62-16,1,대구광역시 군위군 군위읍 사직2길 62-16,,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
사직2길 62-23,1,대구광역시 군위군 군위읍 사직2길 62-23,,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 1148,1,,대구광역시 군위군 군위읍 내량리 1148,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 1142-4,1,,대구광역시 군위군 군위읍 내량리 1142-4,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 1221,1,,대구광역시 군위군 군위읍 내량리 1221,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 440-7,1,,대구광역시 군위군 군위읍 내량리 440-7,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 466-1,1,,대구광역시 군위군 군위읍 내량리 466-1,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
양천길 347,1,대구광역시 군위군 군위읍 양천길 347,,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 475-7,1,,대구광역시 군위군 군위읍 내량리 475-7,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 1349-1,1,,대구광역시 군위군 군위읍 내량리 1349-1,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 636-1,1,,대구광역시 군위군 군위읍 내량리 636-1,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 642-5,1,,대구광역시 군위군 군위읍 내량리 642-5,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 1357,1,,대구광역시 군위군 군위읍 내량리 1357,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 1365,1,,대구광역시 군위군 군위읍 내량리 1365,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 673,1,,대구광역시 군위군 군위읍 내량리 673,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 666-5,1,,대구광역시 군위군 군위읍 내량리 666-5,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 677,1,,대구광역시 군위군 군위읍 내량리 677,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 761,1,,대구광역시 군위군 군위읍 내량리 761,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 1334-40,1,,대구광역시 군위군 군위읍 내량리 1334-40,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 758-4,1,,대구광역시 군위군 군위읍 내량리 758-4,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 1334-78,1,,대구광역시 군위군 군위읍 내량리 1334-78,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 690-2,1,,대구광역시 군위군 군위읍 내량리 690-2,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 752,1,,대구광역시 군위군 군위읍 내량리 752,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 742-2,1,,대구광역시 군위군 군위읍 내량리 742-2,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 1366-1,1,,대구광역시 군위군 군위읍 내량리 1366-1,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 1366,1,,대구광역시 군위군 군위읍 내량리 1366,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 194-26,1,,대구광역시 군위군 군위읍 내량리 194-26,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 194-40,1,,대구광역시 군위군 군위읍 내량리 194-40,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 194-76,1,,대구광역시 군위군 군위읍 내량리 194-76,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 1291-2,1,,대구광역시 군위군 군위읍 내량리 1291-2,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 725-1,1,,대구광역시 군위군 군위읍 내량리 725-1,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 720-1,1,,대구광역시 군위군 군위읍 내량리 720-1,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
