보행자우선도로명,시도명,시군구명,보행자우선도로시작점위도,보행자우선도로시작점경도,보행자우선도로종료점위도,보행자우선도로종료점경도,보행자우선도로지정일자,연장거리,도로폭,보행자우선도로지정목적,보호구역지정여부,자동차운행속도제한속도,일방통행적용여부,통행제한차량,노상주차허용여부,보행자통행유발시설현황,보행자교통사고발생건수,보행자사망사고건수,속도저감시설,교통안내시설,보행안전시설,보행약자지원시설,보행자편익시설,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
서정리역 일원 보행자우선도로,경기도,평택시,37.056577,127.053921,37.056160,127.058317,2022-08-04,970,6,보행자 편의 증진,N,20,N,제한없음,N,서정리역+서정리시장,,,,,,,,경기도 평택시청,031-8024-4892,2026-03-10,3910000,경기도 평택시
동부시장길,전북특별자치도,남원시,35.413001,127.386663,35.410081,127.388954,2023-01-13,390,6,전통문화 환경보전 및 안전 확보,N,30,N,제한없음,N,대중교통시설,,,제한속도(30)표지판,,보행자우선도로 표지판,,,전북특별자치도 남원시청,063-620-6542,2026-01-30,4701000,전북특별자치도 남원시
옥샘길,전북특별자치도,남원시,35.411409,127.386145,35.412378,127.388357,2023-01-13,240,6,전통문화 환경보전 및 안전 확보,N,30,Y,제한없음,N,보행유발시설,,,제한속도(30)표지판,,보행자우선도로 표지판,,,전북특별자치도 남원시청,063-620-6542,2026-01-30,4701000,전북특별자치도 남원시
시청동로,전북특별자치도,남원시,35.414647,127.391010,35.415638,127.392766,2023-01-13,202,5,전통문화 환경보전 및 안전 확보,N,30,N,제한없음,N,보행유발시설,,,제한속도(30)표지판,,보행자우선도로 표지판,,,전북특별자치도 남원시청,063-620-6542,2026-01-30,4701000,전북특별자치도 남원시
마방길,전북특별자치도,남원시,35.410502,127.382819,35.411371,127.389146,2023-01-13,622,6,전통문화 환경보전 및 안전 확보,Y,30,Y,제한없음,N,대중교통시설,,,제한속도(30)표지판,,보행자우선도로 표지판,,,전북특별자치도 남원시청,063-620-6542,2026-01-30,4701000,전북특별자치도 남원시
시청남로,전북특별자치도,남원시,35.417603,127.392906,35.415213,127.392956,2023-01-13,291,5.8,전통문화 환경보전 및 안전 확보,Y,30,N,제한없음,N,보행유발시설,,,제한속도(30)표지판,,보행자우선도로 표지판,,,전북특별자치도 남원시청,063-620-6542,2026-01-30,4701000,전북특별자치도 남원시
하정2길,전북특별자치도,남원시,35.406474,127.381501,35.409084,127.381871,2023-01-13,315,6,전통문화 환경보전 및 안전 확보,Y,30,Y,제한없음,N,문화관광시설,,,제한속도(30)표지판,,보행자우선도로 표지판,,,전북특별자치도 남원시청,063-620-6542,2026-01-30,4701000,전북특별자치도 남원시
요천로,전북특별자치도,남원시,35.40305279,127.3808626,35.40314529,127.3819945,2023-01-13,90,7.5,전통문화 환경보전 및 안전 확보,Y,30,N,제한없음,N,문화관광시설,,,,,,,,전북특별자치도 남원시청,063-620-6542,2026-01-30,4701000,전북특별자치도 남원시
관서당길,전북특별자치도,남원시,35.40429278,127.3808803,35.40431838,127.382399,2023-01-13,140,5.1,전통문화 환경보전 및 안전 확보,Y,30,N,제한없음,N,문화관광시설,,,,,,,,전북특별자치도 남원시청,063-620-6542,2026-01-30,4701000,전북특별자치도 남원시
고샘길,전북특별자치도,남원시,35.40498916,127.3807453,35.40485879,127.3849055,2023-01-13,370,6,전통문화 환경보전 및 안전 확보,Y,30,Y,제한없음,N,문화관광시설,,,,,,,,전북특별자치도 남원시청,063-620-6542,2026-01-30,4701000,전북특별자치도 남원시
월매길,전북특별자치도,남원시,35.4049457,127.3808167,35.4026071,127.380855,2023-01-13,260,5.9,전통문화 환경보전 및 안전 확보,Y,30,N,제한없음,N,문화관광시설,,,,,,,,전북특별자치도 남원시청,063-620-6542,2026-01-30,4701000,전북특별자치도 남원시
