통계연도,구명,동명,세대수,인구수,남자인구수,여자인구수,행정동코드
stats_yr,sigungu_nm,epmndn_nm,hshld_cnt,popl_cnt,popl_cnt_m,popl_cnt_f,admdong_cd
1991,강서구,계,121174,408676,205712,202964,1150000000
2008,중랑구,계,171183,432845,216344,216501,1126000000
1993,구로구,계,229870,724230,371238,352992,1153000000
2003,강북구,계,129543,362094,180321,181773,1130500000
2020,서대문구,충현동,10414,21229,10208,11021,1141056500
2000,구로구,계,135896,404786,206330,198456,1153000000
1994,노원구,계,182015,589582,292659,296923,1135000000
1999,도봉구,계,119418,376133,188468,187665,1132000000
1999,마포구,염리동,7985,21172,10495,10677,1144061000
2005,구로구,계,154397,427119,216633,210486,1153000000
2018,마포구,계,172505,386359,182573,203786,1144000000
2023,강서구,계,274084,568826,272338,296488,1150000000
2008,중구,계,58174,138811,69284,69527,1114000000
2011,서대문구,충현동,9858,21728,10741,10987,1141056500
2004,금천구,계,96632,266047,135963,130084,1154500000
2014,영등포구,기타,,1,,1,0000000000
2006,강서구,화곡본동,13729,35696,17677,18019,1150059000
2020,성북구,계,195396,447056,214658,232398,1129000000
2020,송파구,거여1동,5652,13077,6615,6462,1171053100
2021,계,계,4426007,9736027,4721977,5014050,1100000000
2021,종로구,계,73494,153789,74186,79603,1111000000
2021,종로구,사직동,4696,9636,4353,5283,1111053000
2021,종로구,삼청동,1229,2739,1302,1437,1111054000
2021,종로구,부암동,4265,9782,4686,5096,1111055000
2021,종로구,평창동,7509,18329,8542,9787,1111056000
2021,종로구,무악동,3069,8297,3856,4441,1111057000
2021,종로구,교남동,4458,10203,4716,5487,1111058000
2021,종로구,가회동,1991,4194,1939,2255,1111060000
2021,종로구,종로1.2.3.4가동,5247,8595,4956,3639,1111061500
2021,종로구,종로5.6가동,3385,5476,2922,2554,1111063000
2021,종로구,이화동,4298,7705,3598,4107,1111064000
2021,종로구,혜화동,9187,18960,8761,10199,1111065000
2021,종로구,창신1동,2823,5631,3006,2625,1111067000
2021,종로구,창신2동,4043,9051,4631,4420,1111068000
2021,종로구,창신3동,2798,6733,3341,3392,1111069000
2021,종로구,숭인1동,2970,6106,2916,3190,1111070000
2021,종로구,숭인2동,6285,10175,5031,5144,1111071000
2021,종로구,청운효자동,5241,12177,5630,6547,1111051500
2021,중구,계,63519,131787,64083,67704,1114000000
2021,중구,소공동,1296,3367,1708,1659,1114052000
2021,중구,회현동,2748,5432,2822,2610,1114054000
2021,중구,명동,1539,3742,1678,2064,1114055000
2021,중구,필동,2479,4679,2354,2325,1114057000
2021,중구,장충동,2750,5301,2678,2623,1114058000
2021,중구,광희동,3390,6340,3236,3104,1114059000
2021,중구,을지로동,1345,1914,1130,784,1114060500
2021,중구,신당5동,5387,10708,5198,5510,1114065000
2021,중구,황학동,7088,13444,6377,7067,1114067000
2021,중구,중림동,5671,12351,6140,6211,1114068000
2021,중구,신당동,4729,9095,4400,4695,1114061500
2021,중구,다산동,6886,14274,6912,7362,1114062500
2021,중구,약수동,7834,16889,7861,9028,1114063500
2021,중구,청구동,6287,13818,6552,7266,1114064500
2021,중구,동화동,4090,10433,5037,5396,1114066500
2021,용산구,계,111036,237285,115085,122200,1117000000
2021,용산구,후암동,8465,17308,8444,8864,1117051000
2021,용산구,용산2가동,5247,10775,5280,5495,1117052000
2021,용산구,남영동,5189,7825,4717,3108,1117053000
2021,용산구,원효로1동,8105,16577,7917,8660,1117056000
2021,용산구,원효로2동,5985,13875,6526,7349,1117057000
2021,용산구,효창동,4375,10156,4801,5355,1117058000
2021,용산구,용문동,5377,11985,5726,6259,1117059000
2021,용산구,이촌1동,9542,26632,12532,14100,1117063000
2021,용산구,이촌2동,3693,8374,3916,4458,1117064000
2021,용산구,이태원1동,3628,8126,4232,3894,1117065000
2021,용산구,이태원2동,4918,10604,4982,5622,1117066000
2021,용산구,서빙고동,5322,13912,6679,7233,1117069000
2021,용산구,보광동,7427,14708,7531,7177,1117070000
2021,용산구,청파동,11080,20076,9319,10757,1117055500
2021,용산구,한강로동,11713,23411,11214,12197,1117062500
2021,용산구,한남동,10970,22941,11269,11672,1117068500
2021,성동구,계,134233,292672,142259,150413,1120000000
2021,성동구,왕십리2동,7411,16819,8115,8704,1120052000
2021,성동구,마장동,10968,22991,11273,11718,1120054000
2021,성동구,사근동,7945,13505,6737,6768,1120055000
2021,성동구,행당1동,6468,14193,6819,7374,1120056000
2021,성동구,행당2동,9220,23376,10943,12433,1120057000
2021,성동구,응봉동,6063,15458,7374,8084,1120058000
2021,성동구,금호1가동,6552,15315,7293,8022,1120059000
2021,성동구,금호4가동,6370,14452,6866,7586,1120062000
2021,성동구,성수1가1동,7784,16814,8417,8397,1120065000
2021,성동구,성수1가2동,6175,12874,6309,6565,1120066000
2021,성동구,성수2가1동,8163,16279,8479,7800,1120067000
2021,성동구,성수2가3동,5554,10985,5540,5445,1120069000
2021,성동구,송정동,5600,10915,5748,5167,1120072000
2021,성동구,용답동,7075,12568,6430,6138,1120079000
2023,강동구,계,203734,463318,226237,237081,1174000000
2021,성동구,왕십리도선동,11867,26910,12755,14155,1120053500
2021,성동구,금호2.3가동,10118,22909,10895,12014,1120061500
2021,성동구,옥수동,10900,26309,12266,14043,1120064500
2021,광진구,계,167949,352627,169317,183310,1121500000
2021,광진구,화양동,17777,26034,12009,14025,1121571000
2021,광진구,군자동,11323,21500,10571,10929,1121573000
2021,광진구,중곡1동,8378,15862,7667,8195,1121574000
2021,광진구,중곡2동,10645,21739,10217,11522,1121575000
2021,광진구,중곡3동,8461,16357,8077,8280,1121576000
2021,광진구,중곡4동,13174,28954,14127,14827,1121577000
2021,광진구,능동,6401,11619,5363,6256,1121578000
2021,광진구,구의1동,12154,22139,10533,11606,1121585000
2021,광진구,구의2동,11593,27008,13003,14005,1121586000
2021,광진구,구의3동,12156,28891,13664,15227,1121587000
2021,광진구,광장동,11910,34834,16861,17973,1121581000
2021,광진구,자양1동,11911,23134,11180,11954,1121582000
2021,광진구,자양2동,11014,24930,12072,12858,1121583000
2021,광진구,자양3동,11093,28330,13525,14805,1121584000
2021,광진구,자양4동,9959,21296,10448,10848,1121584700
1999,중구,계,47969,129061,64853,64208,1114000000
2021,동대문구,계,168219,352006,172162,179844,1123000000
2021,동대문구,전농1동,14863,29699,14816,14883,1123056000
2021,동대문구,전농2동,7642,18876,9059,9817,1123057000
2021,동대문구,답십리1동,13089,29373,14149,15224,1123060000
2021,동대문구,답십리2동,12656,28595,13904,14691,1123061000
2021,동대문구,장안1동,18428,38794,19152,19642,1123065000
2021,동대문구,장안2동,14056,32791,16332,16459,1123066000
2021,동대문구,회기동,6549,12727,5821,6906,1123071000
2021,동대문구,휘경1동,7624,16105,7354,8751,1123072000
2021,동대문구,휘경2동,12114,24847,12306,12541,1123073000
2021,동대문구,이문1동,10418,20870,10070,10800,1123074000
2021,동대문구,이문2동,8744,20417,9857,10560,1123075000
2021,동대문구,청량리동,9675,19280,9546,9734,1123070500
2021,동대문구,용신동,18938,33055,16468,16587,1123053600
2021,동대문구,제기동,13423,26577,13328,13249,1123054500
2021,중랑구,계,185712,391885,192903,198982,1126000000
2021,중랑구,면목2동,12180,24405,12134,12271,1126052000
2021,중랑구,면목4동,9137,19308,9583,9725,1126054000
2021,중랑구,면목5동,6439,14897,7458,7439,1126055000
2021,중랑구,면목7동,10600,22070,11062,11008,1126057000
2021,중랑구,상봉1동,10266,24190,11773,12417,1126058000
2021,중랑구,상봉2동,12269,20647,9919,10728,1126059000
2021,중랑구,중화1동,9085,19784,9691,10093,1126060000
2021,중랑구,중화2동,13631,25315,12966,12349,1126061000
2021,중랑구,묵1동,14854,34636,16701,17935,1126062000
2021,중랑구,묵2동,9259,18946,9261,9685,1126063000
2021,중랑구,망우3동,8238,16698,8347,8351,1126066000
2021,중랑구,신내1동,14704,38649,18711,19938,1126068000
2021,중랑구,신내2동,9033,20529,9763,10766,1126069000
2021,중랑구,면목본동,17660,34188,16864,17324,1126056500
2021,중랑구,면목3.8동,12668,25154,12444,12710,1126057500
2021,중랑구,망우본동,15689,32469,16226,16243,1126065500
2021,성북구,계,195017,440142,211150,228992,1129000000
2021,성북구,돈암1동,6114,14791,6903,7888,1129058000
2021,성북구,돈암2동,8594,23913,11324,12589,1129059000
2021,성북구,안암동,9385,16527,8025,8502,1129060000
2021,성북구,보문동,7739,15766,7591,8175,1129061000
2021,성북구,정릉1동,7369,18377,8801,9576,1129062000
2021,성북구,정릉2동,9902,23268,11205,12063,1129063000
2021,성북구,정릉3동,7879,16210,7948,8262,1129064000
2021,성북구,정릉4동,10860,25322,12105,13217,1129065000
2021,성북구,길음1동,12519,35615,16914,18701,1129066000
2021,성북구,길음2동,6905,16780,8038,8742,1129068500
2021,성북구,월곡1동,10854,26525,12779,13746,1129071500
2021,성북구,월곡2동,9617,19896,9564,10332,1129072500
2021,성북구,장위1동,10777,24511,11981,12530,1129076000
2021,성북구,장위2동,6716,13953,6870,7083,1129077000
2021,성북구,장위3동,6499,15980,7864,8116,1129078000
2021,성북구,성북동,8225,17026,7922,9104,1129052500
2021,성북구,삼선동,11531,23413,11108,12305,1129055500
2021,성북구,동선동,9534,16115,6684,9431,1129057500
2021,성북구,종암동,17149,40325,19805,20520,1129070500
2021,성북구,석관동,16849,35829,17719,18110,1129081000
2021,강북구,계,144536,302563,146984,155579,1130500000
2021,강북구,번1동,10279,18717,9404,9313,1130559500
2021,강북구,번2동,7597,15932,7690,8242,1130560300
2021,강북구,번3동,7478,16905,7903,9002,1130560800
2021,강북구,수유1동,10419,20849,10273,10576,1130561500
2021,강북구,수유2동,9866,21421,10217,11204,1130562500
2021,강북구,수유3동,12921,23393,11615,11778,1130563000
2021,강북구,삼양동,11126,23802,11843,11959,1130553400
2021,강북구,미아동,11687,21997,10538,11459,1130553500
2021,강북구,송중동,13975,30035,14405,15630,1130554500
2021,강북구,송천동,13549,26801,13261,13540,1130555500
2021,강북구,삼각산동,11577,31470,15100,16370,1130557500
2021,강북구,우이동,9613,20678,9985,10693,1130564500
2021,강북구,인수동,14449,30563,14750,15813,1130566000
2021,도봉구,계,138656,319373,155221,164152,1132000000
2021,도봉구,쌍문1동,9407,21658,10387,11271,1132066000
2021,도봉구,쌍문2동,8594,18864,9014,9850,1132067000
2021,도봉구,쌍문3동,7890,16768,8108,8660,1132068000
2021,도봉구,쌍문4동,7099,18643,8802,9841,1132068100
2021,도봉구,방학1동,12938,28912,14331,14581,1132069000
2021,도봉구,방학2동,9418,19867,10010,9857,1132070000
2021,도봉구,방학3동,9992,27110,13158,13952,1132071000
2021,도봉구,창1동,10957,24827,11775,13052,1132051100
2021,도봉구,창2동,12613,29337,14273,15064,1132051200
2021,도봉구,창3동,6544,13923,6952,6971,1132051300
2021,도봉구,창4동,10699,26583,12790,13793,1132051400
2021,도봉구,창5동,10245,24709,11782,12927,1132051500
2021,도봉구,도봉1동,10385,21210,10681,10529,1132052100
2021,도봉구,도봉2동,11875,26962,13158,13804,1132052200
2021,노원구,계,217378,514946,247813,267133,1135000000
2021,노원구,월계1동,10228,22240,11487,10753,1135056000
2021,노원구,월계2동,11944,26704,12842,13862,1135057000
2021,노원구,월계3동,12991,30069,14343,15726,1135058000
2021,노원구,공릉1동,18190,37277,18173,19104,1135059500
2021,노원구,공릉2동,17045,41004,19979,21025,1135060000
2021,노원구,하계1동,11491,27036,12954,14082,1135061100
2021,노원구,하계2동,8211,22034,10500,11534,1135061200
2021,노원구,중계본동,8383,24009,11679,12330,1135061900
2021,노원구,중계1동,8956,26877,13041,13836,1135062100
2021,노원구,중계4동,8343,19975,9598,10377,1135062400
2021,노원구,상계1동,15601,38275,18504,19771,1135063000
2021,노원구,상계2동,8657,20143,9962,10181,1135064000
2021,노원구,상계5동,10926,24077,11654,12423,1135067000
2021,노원구,상계8동,9219,22598,10829,11769,1135070000
2021,노원구,상계9동,8378,20529,9683,10846,1135071000
2021,노원구,상계10동,7653,18731,8678,10053,1135072000
2021,노원구,중계2.3동,15269,34326,15735,18591,1135062500
2021,노원구,상계3.4동,11999,26268,13034,13234,1135066500
2021,노원구,상계6.7동,13894,32774,15138,17636,1135069500
2021,은평구,계,214711,477173,228024,249149,1138000000
2021,은평구,녹번동,17601,37164,17602,19562,1138051000
2021,은평구,불광1동,17756,38777,18280,20497,1138052000
2021,은평구,불광2동,13989,27798,13430,14368,1138053000
2021,은평구,갈현1동,10787,22077,10762,11315,1138055100
2021,은평구,갈현2동,12650,28547,13501,15046,1138055200
2021,은평구,구산동,13325,32464,15884,16580,1138056000
2021,은평구,대조동,14546,27204,12628,14576,1138057000
2021,은평구,응암1동,14952,33287,15749,17538,1138058000
2021,은평구,응암2동,11263,28107,13629,14478,1138059000
2021,은평구,응암3동,12494,24637,11968,12669,1138060000
2021,은평구,신사1동,11896,27231,13104,14127,1138063100
2021,은평구,신사2동,8976,20330,10135,10195,1138063200
2021,은평구,증산동,6768,15034,7331,7703,1138064000
2021,은평구,수색동,5360,12752,6278,6474,1138065000
2021,은평구,진관동,21526,56012,26285,29727,1138069000
2021,은평구,역촌동,20822,45752,21458,24294,1138062500
2021,서대문구,계,143647,315659,149507,166152,1141000000
2021,서대문구,천연동,7749,17359,8248,9111,1141052000
2021,서대문구,홍제1동,10409,23929,11196,12733,1141062000
2021,서대문구,홍제2동,5805,13801,6514,7287,1141065500
2021,서대문구,홍제3동,7046,15478,7470,8008,1141064000
2021,서대문구,홍은1동,9731,22933,11051,11882,1141066000
2021,서대문구,홍은2동,12316,27222,13078,14144,1141068500
2021,서대문구,남가좌1동,5673,15627,7480,8147,1141069000
2021,서대문구,남가좌2동,13344,30807,14772,16035,1141070000
2021,서대문구,북가좌1동,6908,18121,8720,9401,1141071000
2021,서대문구,북가좌2동,14584,31893,15549,16344,1141072000
2021,서대문구,충현동,10263,20760,9996,10764,1141056500
2021,서대문구,북아현동,7209,16236,7766,8470,1141055500
2021,서대문구,신촌동,14010,23759,9777,13982,1141058500
2021,서대문구,연희동,18600,37734,17890,19844,1141061500
2021,마포구,계,179861,378686,177233,201453,1144000000
2021,마포구,용강동,9393,22038,10458,11580,1144059000
2021,마포구,대흥동,8673,15848,7453,8395,1144060000
2021,마포구,염리동,7754,17657,8351,9306,1144061000
2021,마포구,신수동,9976,22834,11089,11745,1144063000
2021,마포구,서교동,15381,26549,11918,14631,1144066000
2021,마포구,합정동,9508,17649,8154,9495,1144068000
2021,마포구,망원1동,10325,20351,9519,10832,1144069000
2021,마포구,망원2동,8464,18764,8807,9957,1144070000
2021,마포구,연남동,8641,15899,7434,8465,1144071000
2021,마포구,성산1동,9398,19246,9051,10195,1144072000
2021,마포구,성산2동,19231,39909,17987,21922,1144073000
2021,마포구,상암동,12717,31473,14929,16544,1144074000
2021,마포구,도화동,9305,21391,10199,11192,1144058500
2021,마포구,서강동,12165,25600,12075,13525,1144065500
2021,마포구,공덕동,18507,37792,17767,20025,1144056500
2021,마포구,아현동,10423,25686,12042,13644,1144055500
2021,양천구,계,181404,450487,220537,229950,1147000000
2021,양천구,목1동,10403,30883,14846,16037,1147051000
2021,양천구,목2동,13396,30139,14651,15488,1147052000
2021,양천구,목3동,10027,21977,10478,11499,1147053000
2021,양천구,목4동,10152,25544,12470,13074,1147054000
2021,양천구,목5동,13465,41308,20484,20824,1147055000
2021,양천구,신월1동,10232,20693,10589,10104,1147056000
2021,양천구,신월2동,8465,20819,10158,10661,1147057000
2021,양천구,신월3동,7909,15372,8098,7274,1147058000
2021,양천구,신월4동,6890,18012,8785,9227,1147059000
2021,양천구,신월5동,6470,14750,7311,7439,1147060000
2021,양천구,신월6동,5356,13945,6811,7134,1147061000
2021,양천구,신월7동,9219,19917,9714,10203,1147061100
2021,양천구,신정1동,7103,20487,9978,10509,1147062000
2021,양천구,신정2동,7010,19596,9615,9981,1147063000
2021,양천구,신정3동,19369,49979,24303,25676,1147064000
2021,양천구,신정4동,16180,33343,16205,17138,1147065000
2021,양천구,신정6동,8265,24552,11948,12604,1147067000
2021,양천구,신정7동,11493,29171,14093,15078,1147068000
2021,강서구,계,271175,579768,278720,301048,1150000000
2021,강서구,염창동,16309,41764,20212,21552,1150051000
2021,강서구,등촌1동,13600,24436,11309,13127,1150052000
2021,강서구,등촌2동,8668,20423,9955,10468,1150053000
2021,강서구,등촌3동,15012,30714,14549,16165,1150053500
2021,강서구,화곡본동,17267,34612,16743,17869,1150059000
2021,강서구,화곡1동,27678,52770,25577,27193,1150054000
2021,강서구,화곡2동,8187,18096,8765,9331,1150055000
2021,강서구,화곡3동,9657,21661,10348,11313,1150056000
2021,강서구,화곡4동,9748,20820,10165,10655,1150057000
2021,강서구,화곡6동,12586,25096,12106,12990,1150059100
2021,강서구,화곡8동,11814,24789,11931,12858,1150059300
2021,강서구,가양1동,20536,34395,15735,18660,1150060300
2021,강서구,가양2동,8055,14109,6640,7469,1150060400
2021,강서구,가양3동,7903,15138,7018,8120,1150060500
2021,강서구,발산1동,13446,36572,17279,19293,1150061100
2021,강서구,공항동,14081,31483,15912,15571,1150062000
2021,강서구,방화1동,17256,43181,21041,22140,1150063000
2021,강서구,방화2동,11994,23656,11696,11960,1150064000
2021,강서구,방화3동,11278,22924,11106,11818,1150064100
2021,강서구,우장산동,16100,43129,20633,22496,1150061500
2021,구로구,계,180929,421163,208873,212290,1153000000
2021,구로구,신도림동,13730,36342,17661,18681,1153051000
2021,구로구,구로1동,8343,21166,10362,10804,1153052000
2021,구로구,구로2동,12608,31164,16069,15095,1153053000
2021,구로구,구로3동,13338,25157,12930,12227,1153054000
2021,구로구,구로4동,10630,23745,11814,11931,1153055000
2021,구로구,구로5동,15130,31822,15570,16252,1153056000
2021,구로구,고척1동,9462,22657,11283,11374,1153072000
2021,구로구,고척2동,11508,27092,13418,13674,1153073000
2021,구로구,개봉1동,14926,34560,17238,17322,1153074000
2021,구로구,개봉2동,12575,31314,15237,16077,1153075000
2021,구로구,개봉3동,8824,20590,10011,10579,1153076000
2021,구로구,오류1동,12092,23155,11242,11913,1153077000
2021,구로구,오류2동,15586,39026,18783,20243,1153078000
2021,구로구,수궁동,10034,23806,11740,12066,1153079000
2021,구로구,가리봉동,5999,13091,7447,5644,1153059500
2021,구로구,항동,6144,16476,8068,8408,1153080000
2021,금천구,계,117595,244891,124110,120781,1154500000
2021,금천구,가산동,16824,26179,14306,11873,1154551000
2021,금천구,독산1동,23295,46698,23968,22730,1154561000
2021,금천구,독산2동,9519,20175,10245,9930,1154562000
2021,금천구,독산3동,12718,27595,14044,13551,1154563000
2021,금천구,독산4동,7668,16778,8441,8337,1154564000
2021,금천구,시흥1동,16104,34533,17220,17313,1154567000
2021,금천구,시흥2동,8255,21351,10263,11088,1154568000
2021,금천구,시흥3동,4736,10951,5437,5514,1154569000
2021,금천구,시흥4동,9129,20916,10353,10563,1154570000
2021,금천구,시흥5동,9347,19715,9833,9882,1154571000
2021,영등포구,계,187020,400908,198740,202168,1156000000
2021,영등포구,여의도동,13460,33420,15701,17719,1156054000
2021,영등포구,당산1동,10792,20648,10111,10537,1156055000
2021,영등포구,당산2동,18858,37911,17762,20149,1156056000
2021,영등포구,양평1동,9666,18487,9003,9484,1156061000
2021,영등포구,양평2동,10662,22499,11039,11460,1156062000
2021,영등포구,신길1동,10599,18755,9579,9176,1156063000
2021,영등포구,신길3동,7650,17575,8737,8838,1156065000
2021,영등포구,신길4동,5746,13089,6548,6541,1156066000
2021,영등포구,신길5동,4803,11701,5749,5952,1156067000
2021,영등포구,신길6동,9118,19869,9729,10140,1156068000
2021,영등포구,신길7동,7900,20158,10050,10108,1156069000
2021,영등포구,대림1동,7123,17067,8650,8417,1156070000
2021,영등포구,대림2동,6879,18162,9357,8805,1156071000
2021,영등포구,대림3동,10411,25876,13080,12796,1156072000
2021,영등포구,영등포본동,10460,23152,11907,11245,1156051500
2021,영등포구,영등포동,20390,29901,15676,14225,1156053500
2021,영등포구,도림동,9372,19826,10006,9820,1156058500
2021,영등포구,문래동,13131,32812,16056,16756,1156060500
2021,동작구,계,184812,394364,190241,204123,1159000000
2021,동작구,노량진1동,16187,32298,16180,16118,1159051000
2021,동작구,노량진2동,6969,11550,5952,5598,1159052000
2021,동작구,상도1동,21389,45485,21898,23587,1159053000
2021,동작구,상도2동,12590,28362,13631,14731,1159054000
2021,동작구,상도3동,12009,24846,11840,13006,1159055000
2021,동작구,상도4동,14095,28914,13997,14917,1159056000
2021,동작구,사당1동,13492,23321,11108,12213,1159062000
2021,동작구,사당2동,12200,28147,13465,14682,1159063000
2021,동작구,사당3동,10472,24548,11893,12655,1159064000
2021,동작구,사당4동,7155,14301,6851,7450,1159065000
2021,동작구,사당5동,6621,14558,6995,7563,1159065100
2021,동작구,대방동,17267,38338,18190,20148,1159066000
2021,동작구,신대방1동,10225,24999,12057,12942,1159067000
2021,동작구,신대방2동,10076,21404,10219,11185,1159068000
2021,동작구,흑석동,14065,33293,15965,17328,1159060500
2021,관악구,계,276597,499449,250058,249391,1162000000
2021,관악구,남현동,9683,18274,8795,9479,1162063000
2021,관악구,보라매동,12941,24918,12254,12664,1162052500
2021,관악구,청림동,6450,15214,7394,7820,1162054500
2021,관악구,행운동,17656,29413,14214,15199,1162057500
2021,관악구,낙성대동,11239,17434,8705,8729,1162058500
2021,관악구,중앙동,9801,15487,7418,8069,1162061500
2021,관악구,인헌동,14410,26154,12691,13463,1162062500
2021,관악구,서원동,14333,23278,11996,11282,1162064500
2021,관악구,신원동,10967,18675,9403,9272,1162065500
2021,관악구,서림동,14355,23689,12957,10732,1162066500
2021,관악구,신사동,13955,24838,12445,12393,1162068500
2021,관악구,신림동,17985,23128,12137,10991,1162069500
