학구ID,학구명,학구분류,시도코드,시군구코드,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,공간객체ID,데이터기준일자
Z000103078,경포초통학구역,0,51,150,7801000,강원특별자치도교육청,7832000,강원특별자치도강릉교육지원청,2016-08-12,2023-04-11,3620,2026-03-20
Z000103079,교동초통학구역,0,51,150,7801000,강원특별자치도교육청,7832000,강원특별자치도강릉교육지원청,2016-08-12,2023-04-11,2050,2026-03-20
Z000102294,동삭초통학구역,0,41,220,7530000,경기도교육청,7631000,경기도평택교육지원청,2016-08-12,2023-04-24,688,2026-03-20
Z000104676,석곡초통학구역,0,46,720,8490000,전라남도교육청,8571000,전라남도곡성교육지원청,2016-08-12,2023-09-05,4497,2026-03-20
Z000105460,교방초통학구역,0,48,125,9010000,경상남도교육청,9022000,경상남도창원교육지원청,2016-08-12,2023-03-07,1498,2026-03-20
Z000105499,상북초통학구역,0,48,121,9010000,경상남도교육청,9022000,경상남도창원교육지원청,2016-08-12,2023-03-07,3435,2026-03-20
Z000106371,능평초통학구역,0,41,610,7530000,경기도교육청,7692000,경기도광주하남교육지원청,2023-02-27,2023-03-07,2661,2026-03-20
Z000151316,능평초광주광명초공동통학구역,1,41,610,7530000,경기도교육청,7692000,경기도광주하남교육지원청,2023-02-27,2023-03-07,5302,2026-03-20
Z000151317,능평초능원초공동통학구역,1,41,610,7530000,경기도교육청,7751000,경기도광주하남교육지원청,2023-02-28,2023-03-07,7118,2026-03-20
Z000106318,호연초통학구역,0,41,590,7530000,경기도교육청,7679000,경기도화성오산교육지원청,2021-02-22,2023-02-28,3953,2026-03-20
Z000103111,한솔초통학구역,0,51,150,7801000,강원특별자치도교육청,7832000,강원특별자치도강릉교육지원청,2016-08-12,2023-04-11,4718,2026-03-20
Z000103109,초당초통학구역,0,51,150,7801000,강원특별자치도교육청,7832000,강원특별자치도강릉교육지원청,2016-08-12,2023-04-11,4719,2026-03-20
Z000105279,임당초통학구역,0,47,290,8750000,경상북도교육청,8851000,경상북도경산교육지원청,2016-08-12,2024-01-04,924,2026-03-20
