rank,accident_id,ADSTRD_CD,ADSTRD_NM,사고연도,사고유형구분,사고지역위치명,사고건수,사망자수,중상자수,경상자수,부상신고자수,protection_ring,protection_dist_m,missing_facilities,policy_package,accident_severity_score,protection_gap_score,safety_shortage_score,child_blindspot_index,senior_blindspot_index,complex_risk_index,intervention_priority_index,priority_grade
1,ACC_01534,11230705,청량리동,2012,보행노인,서울특별시 동대문구 청량리동(청량리역_일반국도6호선_진입_1 부근),16,0,10,5,1,outside_300_600m,339.3913018025561,"횡단보도, 신호등, 과속방지턱, 보안등, 보행자우선도로","고령자 병원형: 보행신호 연장, 횡단거리 단축, 보행섬 검토",100.0,70.0,86.87782805429865,70.35926041504135,62.4739871521782,62.4739871521782,79.73035848786807,A_preventive_management
2,ACC_01021,11230545,제기동,2016,보행노인,서울특별시 동대문구 용두동(경동시장 부근),12,1,10,2,1,extended_600_1000m,629.6688849037764,"횡단보도, 신호등, 과속방지턱, 보안등, 보행자우선도로","고령자 병원형: 보행신호 연장, 횡단거리 단축, 보행섬 검토",81.09833971902935,100.0,88.00904977375566,69.34439705737879,56.08650740794344,56.08650740794344,77.7573731685703,A_preventive_management
3,ACC_00554,11230545,제기동,2019,보행노인,서울특별시 동대문구 제기동(경동시장 부근),13,0,7,6,1,extended_600_1000m,682.8466068628985,"횡단보도, 신호등, 과속방지턱, 보안등, 보행자우선도로","고령자 병원형: 보행신호 연장, 횡단거리 단축, 보행섬 검토",78.544061302682,100.0,88.46153846153847,69.20792808723844,55.143731933761714,55.143731933761714,77.4794878773027,A_preventive_management
4,ACC_01022,11230545,제기동,2016,보행노인,서울특별시 동대문구 제기동(성바오로병원앞 부근),15,0,9,7,0,outside_300_600m,363.2424786680682,"횡단보도, 신호등, 과속방지턱, 보안등, 보행자우선도로","고령자 병원형: 보행신호 연장, 횡단거리 단축, 보행섬 검토",93.7420178799489,70.0,88.46153846153847,67.71686806169565,60.43794709792212,60.43794709792212,76.78256012638397,A_preventive_management
5,ACC_00690,11230545,제기동,2018,보행노인,서울특별시 동대문구 용두동(동서시장 부근),15,0,8,6,2,outside_300_600m,491.1845979274382,"횡단보도, 신호등, 과속방지턱, 보안등, 보행자우선도로","고령자 병원형: 보행신호 연장, 횡단거리 단축, 보행섬 검토",91.44316730523626,70.0,85.52036199095022,65.78143871754419,59.628215309711685,59.628215309711685,74.72567101400094,A_preventive_management
6,ACC_00841,11110710,숭인2동,2017,보행노인,서울특별시 동대문구 신설동(신삼송빌딩앞 부근),10,0,1,8,1,extended_600_1000m,981.1703803929237,"횡단보도, 신호등, 과속방지턱, 보안등, 보행자우선도로","고령자 병원형: 보행신호 연장, 횡단거리 단축, 보행섬 검토",50.95785440613027,100.0,94.79638009049773,63.95125777985819,43.88273304538906,43.88273304538906,70.53366773666654,A_preventive_management
7,ACC_00210,11230545,제기동,2022,보행노인,서울특별시 동대문구 제기동(경동시장사거리 부근),12,0,12,0,0,outside_300_600m,578.8525335896003,"횡단보도, 신호등, 과속방지턱, 보안등, 보행자우선도로","고령자 병원형: 보행신호 연장, 횡단거리 단축, 보행섬 검토",79.94891443167303,70.0,88.68778280542986,61.54390816155521,56.793028515607,56.793028515607,70.06286243889626,A_preventive_management
8,ACC_01417,11140665,동화동,2014,보행노인,서울특별시 중구 신당동(청구역 부근),10,0,7,2,1,beyond_1000m,1175.7865849648726,"횡단보도, 신호등, 보안등, 보행자우선도로","고령자 병원형: 보행신호 연장, 횡단거리 단축, 보행섬 검토",60.15325670498084,100.0,64.93212669683258,64.0693209202337,39.57395562250721,39.57395562250721,70.00541426360978,A_preventive_management
9,ACC_00625,11545670,시흥1동,2018,보행노인,서울특별시 금천구 시흥동(시흥사거리 부근),9,2,6,1,0,beyond_1000m,2974.0335479070172,"횡단보도, 신호등, 보안등","고령자 병원형: 보행신호 연장, 횡단거리 단축, 보행섬 검토",59.25925925925927,100.0,81.67420814479638,62.81945816935674,43.640113474621096,43.640113474621096,69.3654751905499,A_preventive_management
10,ACC_00296,11230536,용신동,2021,보행노인,서울특별시 동대문구 용두동(경동시장앞교차로 부근),9,0,10,0,0,extended_600_1000m,609.753995608068,"횡단보도, 신호등, 과속방지턱, 보안등, 보행자우선도로","고령자 병원형: 보행신호 연장, 횡단거리 단축, 보행섬 검토",60.02554278416348,100.0,88.00904977375566,61.968918130175744,49.01650666087038,49.01650666087038,69.3213941293063,A_preventive_management
11,ACC_01399,11230545,제기동,2014,보행노인,서울특별시 동대문구 제기동(우리은행청량리중앙지점 부근),13,1,5,7,0,outside_300_600m,461.201787968546,"횡단보도, 신호등, 과속방지턱, 보안등, 보행자우선도로","고령자 병원형: 보행신호 연장, 횡단거리 단축, 보행섬 검토",78.16091954022988,70.0,84.38914027149322,60.96296874187341,54.447706067938064,54.447706067938064,69.13012465206413,A_preventive_management
12,ACC_01185,11230545,제기동,2015,보행노인,서울특별시 동대문구 제기동(우리은행청량리중앙지점 부근),13,0,7,6,0,outside_300_600m,463.7259723872132,"횡단보도, 신호등, 과속방지턱, 보안등, 보행자우선도로","고령자 병원형: 보행신호 연장, 횡단거리 단축, 보행섬 검토",78.16091954022988,70.0,84.38914027149322,60.96296874187341,54.39199576153138,54.39199576153138,69.12176810610312,A_preventive_management
13,ACC_01665,11230545,제기동,2013,보행노인,서울특별시 동대문구 용두동(경동시장_일반국도6호선_진출_1 부근),9,0,7,2,0,extended_600_1000m,704.1542945062071,"횡단보도, 신호등, 과속방지턱, 보안등, 보행자우선도로","고령자 병원형: 보행신호 연장, 횡단거리 단축, 보행섬 검토",54.661558109833976,100.0,90.27149321266968,61.8102003548251,46.395686135107674,46.395686135107674,68.76955327509125,A_preventive_management
14,ACC_00400,11230545,제기동,2020,보행노인,서울특별시 동대문구 용두동(경동시장앞교차로 부근),9,1,5,6,0,extended_600_1000m,641.6449481327529,"횡단보도, 신호등, 과속방지턱, 보안등, 보행자우선도로","고령자 병원형: 보행신호 연장, 횡단거리 단축, 보행섬 검토",56.96040868454663,100.0,87.55656108597285,61.51790306455621,47.60344411472461,47.60344411472461,68.6584196817649,A_preventive_management
15,ACC_01666,11230536,용신동,2013,보행노인,서울특별시 동대문구 용두동(성바오로병원앞 부근),13,0,4,7,2,outside_300_600m,423.6450587606656,"횡단보도, 신호등, 과속방지턱, 보안등, 보행자우선도로","고령자 병원형: 보행신호 연장, 횡단거리 단축, 보행섬 검토",72.79693486590038,70.0,83.2579185520362,60.29520119276711,52.15000952071472,52.15000952071472,68.11770262087431,A_preventive_management
16,ACC_00823,11290705,종암동,2017,보행노인,서울특별시 성북구 하월곡동(성북트리즘빌딩사거리 부근),8,1,3,5,0,extended_600_1000m,613.7282535249825,"횡단보도, 신호등, 보안등, 보행자우선도로","고령자 병원형: 보행신호 연장, 횡단거리 단축, 보행섬 검토",46.48786717752234,100.0,79.18552036199095,62.11409880781076,38.61760688815218,38.61760688815218,67.90673984103358,A_preventive_management
17,ACC_00553,11230545,제기동,2019,보행노인,서울특별시 동대문구 제기동(우리은행청량리중앙지 부근),12,0,8,4,0,outside_300_600m,461.91897942856133,"횡단보도, 신호등, 과속방지턱, 보안등, 보행자우선도로","고령자 병원형: 보행신호 연장, 횡단거리 단축, 보행섬 검토",73.81864623243932,70.0,85.74660633484163,59.64679299364897,53.422244848507795,53.422244848507795,67.66012972092514,A_preventive_management
